orderline_id,order_id,variant_id,title_snapshot,quantity,unit_price,line_discount,line_tax
1,1,3,Organic Night Pads - Night / 14,1,7.51,0.38,0.5
2,1,7,Organic Panty Liners - Day / 60,1,7.2,0.0,0.5
3,2,14,Organic Tampons w/ Applicator - Super / 16,3,6.9,0.0,1.45
4,2,5,Organic Postpartum Pads - Postpartum / 20,2,10.63,0.0,1.49
5,2,21,Period Underwear - Size L,2,17.68,0.0,2.48
6,3,5,Organic Postpartum Pads - Postpartum / 20,3,10.53,0.0,4.11
7,4,16,Menstrual Cup - Size S,1,14.42,0.0,1.01
8,5,17,Menstrual Cup - Size M,3,14.4,0.0,5.62
9,5,16,Menstrual Cup - Size S,1,14.44,0.0,1.88
10,5,3,Organic Night Pads - Night / 14,3,7.44,1.12,2.76
11,6,13,Organic Tampons w/ Applicator - Regular / 32,3,11.03,0.0,2.32
12,6,4,Organic Night Pads - Night / 28,1,13.02,0.0,0.91
13,7,18,Menstrual Cup - Size L,1,14.42,0.0,1.87
14,8,20,Period Underwear - Size M,4,17.83,7.13,8.34
15,8,11,Organic Tampons - Super / 32,8,9.6,0.0,9.98
16,8,21,Period Underwear - Size L,10,17.69,17.69,20.7
17,9,4,Organic Night Pads - Night / 28,4,13.01,0.0,3.64
18,9,25,Cramp Relief Balm - 30 ml,3,3.75,0.0,0.79
19,9,8,Organic Tampons - Regular / 16,3,4.81,0.72,0.96
20,10,21,Period Underwear - Size L,1,17.76,0.0,2.31
21,10,17,Menstrual Cup - Size M,4,14.45,0.0,7.51
22,10,9,Organic Tampons - Regular / 32,2,8.7,0.0,2.26
23,11,10,Organic Tampons - Super / 16,2,5.42,0.0,1.41
24,11,25,Cramp Relief Balm - 30 ml,1,3.98,0.0,0.52
25,11,11,Organic Tampons - Super / 32,2,9.6,0.0,2.5
26,12,7,Organic Panty Liners - Day / 60,8,7.11,2.84,7.03
27,12,9,Organic Tampons - Regular / 32,12,8.55,5.13,12.67
28,13,1,Organic Daily Pads - Regular / 20,10,5.5,0.0,3.85
29,13,21,Period Underwear - Size L,8,17.64,7.06,9.38
30,13,24,Heat Patches (5-pack) - 5-pack,10,4.52,0.0,3.16
31,13,5,Organic Postpartum Pads - Postpartum / 20,6,10.56,3.17,4.21
32,14,5,Organic Postpartum Pads - Postpartum / 20,1,10.65,0.53,1.32
33,14,19,Period Underwear - Size S,1,17.68,0.0,2.3
34,15,1,Organic Daily Pads - Regular / 20,2,5.51,0.0,1.43
35,16,18,Menstrual Cup - Size L,4,14.6,0.0,4.09
36,16,16,Menstrual Cup - Size S,4,14.35,0.0,4.02
37,17,16,Menstrual Cup - Size S,2,14.48,0.0,2.03
38,17,13,Organic Tampons w/ Applicator - Regular / 32,4,11.21,0.0,3.14
39,18,16,Menstrual Cup - Size S,12,14.32,25.78,10.22
40,18,11,Organic Tampons - Super / 32,8,9.57,0.0,5.36
41,18,8,Organic Tampons - Regular / 16,8,4.76,3.81,2.4
42,18,5,Organic Postpartum Pads - Postpartum / 20,12,10.7,19.26,7.64
43,19,24,Heat Patches (5-pack) - 5-pack,4,4.63,0.0,1.3
44,20,6,Organic Panty Liners - Day / 30,4,4.09,0.82,1.09
45,20,18,Menstrual Cup - Size L,1,14.44,0.0,1.01
46,20,10,Organic Tampons - Super / 16,4,5.32,0.0,1.49
47,20,7,Organic Panty Liners - Day / 60,1,7.02,0.35,0.47
48,21,12,Organic Tampons w/ Applicator - Regular / 16,2,6.0,0.0,1.56
