order_id,order_number,customer_id,channel_id,order_date,status,currency,subtotal,discount_total,tax_total,shipping_total
1,ORD2025-000001,343,4,15/01/2025 03:54,paid,CAD,14.71,0.38,1,7.99
2,ORD2025-000002,452,1,21/08/2025 08:18,fulfilled,CAD,77.32,0,5.42,0
3,ORD2024-000003,377,1,03/11/2024 09:44,fulfilled,CAD,31.59,0,4.11,7.99
4,ORD2024-000004,423,1,08/12/2024 00:26,fulfilled,CAD,14.42,0,1.01,7.99
5,ORD2024-000005,436,1,13/11/2024 16:37,closed,CAD,79.96,1.12,10.26,0
6,ORD2024-000006,351,1,02/11/2024 21:00,fulfilled,CAD,46.11,0,3.23,7.99
7,ORD2025-000007,360,1,06/02/2025 23:47,fulfilled,CAD,14.42,0,1.87,7.99
8,ORD2025-000008,977,6,30/05/2025 13:21,closed,CAD,325.02,24.82,39.02,0
9,ORD2025-000009,471,3,18/03/2025 14:13,paid,CAD,77.72,0.72,5.39,0
10,ORD2025-000010,760,1,29/01/2025 21:56,fulfilled,CAD,92.96,0,12.08,0
11,ORD2025-000011,153,6,04/02/2025 18:01,closed,CAD,34.02,0,4.43,7.99
12,ORD2024-000012,927,1,17/09/2024 19:52,closed,CAD,159.48,7.97,19.7,19.99
13,ORD2025-000013,920,3,05/04/2025 21:51,closed,CAD,304.68,10.23,20.6,0
14,ORD2025-000014,108,1,18/04/2025 13:43,paid,CAD,28.33,0.53,3.62,7.99
15,ORD2025-000015,760,1,11/07/2025 17:01,fulfilled,CAD,11.02,0,1.43,7.99
16,ORD2025-000016,599,4,17/08/2025 14:05,cancelled,CAD,115.8,0,8.11,0
17,ORD2025-000017,408,6,06/01/2025 09:19,closed,CAD,73.8,0,5.17,0
18,ORD2024-000018,900,1,19/10/2024 02:47,fulfilled,CAD,414.88,48.85,25.62,0
19,ORD2025-000019,738,1,27/02/2025 22:13,closed,CAD,18.52,0,1.3,7.99
20,ORD2025-000020,594,4,27/08/2025 14:45,fulfilled,CAD,59.1,1.17,4.06,0
21,ORD2025-000021,532,1,25/04/2025 07:56,fulfilled,CAD,33.68,0,4.38,7.99
22,ORD2024-000022,421,4,19/10/2024 18:46,fulfilled,CAD,23.46,0.23,3.02,7.99
23,ORD2025-000023,103,6,28/01/2025 13:19,fulfilled,CAD,40.56,0,2.84,7.99
24,ORD2025-000024,169,1,16/07/2025 22:42,fulfilled,CAD,79.16,0,10.29,0
25,ORD2025-000025,875,1,17/05/2025 23:29,paid,CAD,146.96,6.11,18.31,19.99
26,ORD2025-000026,756,6,04/06/2025 10:58,fulfilled,CAD,12.1,0,1.57,7.99
27,ORD2025-000027,972,4,22/06/2025 23:35,fulfilled,CAD,241.02,33.79,26.94,19.99
28,ORD2025-000028,298,1,31/08/2025 12:19,paid,CAD,21.46,0.88,2.68,7.99
29,ORD2025-000029,770,4,25/01/2025 13:09,closed,CAD,14.55,0,1.02,7.99
30,ORD2025-000030,790,2,28/07/2025 04:04,fulfilled,CAD,36.81,0.96,4.66,7.99
31,ORD2025-000031,809,1,22/03/2025 23:52,closed,CAD,110.02,1.76,7.59,0
32,ORD2025-000032,806,1,23/05/2025 18:05,closed,CAD,54.6,0,3.83,0
33,ORD2025-000033,686,1,20/04/2025 06:22,closed,CAD,42.79,0,2.99,7.99
34,ORD2025-000034,648,1,28/01/2025 02:41,paid,CAD,84.16,0,5.89,0
35,ORD2025-000035,982,3,14/08/2025 05:55,fulfilled,CAD,227.36,8.45,28.45,19.99
36,ORD2025-000036,122,1,02/03/2025 07:19,fulfilled,CAD,182.82,0,23.77,0
37,ORD2025-000037,207,3,21/01/2025 07:53,fulfilled,CAD,47.61,0,3.33,7.99
38,ORD2024-000038,481,1,23/10/2024 04:43,paid,CAD,53.07,0,3.72,0
39,ORD2025-000039,910,3,01/01/2025 18:17,paid,CAD,260.96,2.46,18.1,0
40,ORD2025-000040,882,1,01/08/2025 04:37,closed,CAD,291.16,5.13,20.02,0
41,ORD2025-000041,500,3,22/03/2025 18:49,fulfilled,CAD,21.62,0,1.51,7.99
42,ORD2025-000042,259,1,23/08/2025 18:11,paid,CAD,28.7,0.88,3.62,7.99
43,ORD2025-000043,411,3,18/03/2025 11:15,fulfilled,CAD,27.2,0,1.9,7.99
44,ORD2025-000044,325,1,17/03/2025 18:30,fulfilled,CAD,22.4,0,2.91,7.99
45,ORD2025-000045,269,5,01/03/2025 13:28,paid,CAD,26.24,0.83,3.31,7.99
46,ORD2025-000046,820,2,28/02/2025 18:19,fulfilled,CAD,20.65,0.68,1.4,7.99
47,ORD2025-000047,580,1,25/03/2025 13:27,fulfilled,CAD,38.24,0,4.97,7.99
48,ORD2025-000048,337,1,13/03/2025 01:42,fulfilled,CAD,72.1,0,5.04,0
49,ORD2025-000049,792,1,04/02/2025 21:58,paid,CAD,74.75,0,9.71,0
50,ORD2025-000050,873,1,08/07/2025 08:36,fulfilled,CAD,343.3,17.48,22.8,0
51,ORD2025-000051,360,2,16/03/2025 01:59,closed,CAD,14.52,0,1.89,7.99
52,ORD2025-000052,436,3,28/03/2025 04:46,fulfilled,CAD,37.25,0.28,4.8,7.99
53,ORD2025-000053,431,3,22/04/2025 17:46,paid,CAD,71.76,0,5.02,0
54,ORD2024-000054,140,2,03/12/2024 17:31,fulfilled,CAD,50.72,0,3.55,0
55,ORD2025-000055,743,5,08/04/2025 11:26,closed,CAD,57.52,0,4.03,0
56,ORD2024-000056,566,1,20/12/2024 18:06,fulfilled,CAD,77.86,1.02,9.99,0
57,ORD2025-000057,892,2,29/08/2025 11:59,paid,CAD,270.96,23.92,17.3,19.99
58,ORD2025-000058,835,6,29/01/2025 10:06,fulfilled,CAD,16.32,0,2.12,7.99
59,ORD2024-000059,497,3,06/10/2024 03:32,fulfilled,CAD,36.05,0,4.69,7.99
60,ORD2025-000060,543,1,30/05/2025 16:51,paid,CAD,39.72,0,2.78,7.99
61,ORD2025-000061,715,1,08/06/2025 02:50,fulfilled,CAD,5.55,0,0.72,7.99
62,ORD2025-000062,901,7,29/03/2025 02:40,fulfilled,CAD,78.4,0,5.48,19.99
63,ORD2024-000063,112,1,07/10/2024 17:32,fulfilled,CAD,22.7,0,1.59,7.99
64,ORD2025-000064,951,1,07/05/2025 03:25,paid,CAD,281.36,20.76,33.88,0
65,ORD2025-000065,740,4,03/07/2025 21:27,closed,CAD,92.78,0,6.5,0
66,ORD2025-000066,518,4,29/06/2025 01:23,paid,CAD,7.82,0,1.02,7.99
67,ORD2025-000067,588,7,02/08/2025 10:41,paid,CAD,75.84,0,5.31,0
68,ORD2025-000068,346,3,02/09/2025 04:26,fulfilled,CAD,14.59,0,1.02,7.99
69,ORD2025-000069,374,6,04/01/2025 20:35,paid,CAD,86.14,0.69,11.11,0
70,ORD2024-000070,596,1,24/09/2024 00:50,paid,CAD,33.6,0,2.35,7.99
71,ORD2024-000071,402,1,08/11/2024 06:27,paid,CAD,43.44,0,3.04,7.99
72,ORD2025-000072,79,6,14/04/2025 09:29,fulfilled,CAD,21,0,2.73,7.99
73,ORD2025-000073,414,4,27/05/2025 21:34,fulfilled,CAD,71.99,0,9.36,0
74,ORD2025-000074,753,1,20/05/2025 12:54,fulfilled,CAD,43.11,0,3.02,7.99
75,ORD2025-000075,889,1,03/08/2025 20:45,closed,CAD,191.94,8.62,23.83,19.99
76,ORD2024-000076,133,1,25/10/2024 17:12,closed,CAD,71.08,0,9.24,0
77,ORD2025-000077,687,1,20/03/2025 00:48,closed,CAD,55.9,0,7.27,0
78,ORD2025-000078,906,3,03/07/2025 20:52,fulfilled,CAD,246.68,18.95,29.6,19.99
79,ORD2025-000079,939,1,13/03/2025 07:06,paid,CAD,334.06,32.5,21.1,0
